,rank,name,link,location,points,Total students,International students,Total faculty staff,International Students Ratio,Citations per Faculty,Employer Reputation,Employment Outcomes,Overall,International Research Network,International Faculty Ratio,Academic Reputation,Faculty Student Ratio
1059,1001-1200,Kent State University,https://www.topuniversities.com/universities/kent-state-university,"Kent, United States",-,22027.0,1147.0,"1,166",5.4,18.7,5,10.3,,52.3,21.4,6,6.5
1060,1001-1200,Kharkiv National University of Radio Electronics,https://www.topuniversities.com/universities/kharkiv-national-university-radio-electronics,"Kharkiv, Ukraine",-,7237.0,788.0,704,16.4,1.6,11.2,21.2,,11.1,1.5,2.8,33.1
1061,1001-1200,Kookmin University,https://www.topuniversities.com/universities/kookmin-university,"Seoul, South Korea",-,16949.0,2405.0,"1,502",26.4,3.7,3.7,3.6,,8.5,6.5,3.5,27
1062,1001-1200,Kuwait University,https://www.topuniversities.com/universities/kuwait-university,"Kuwait City, Kuwait",-,27603.0,3727.0,"1,690",24.1,2.9,7.7,62.7,,52,25.8,13.3,5.7
1063,1001-1200,Kyoto Institute of Technology,https://www.topuniversities.com/universities/kyoto-institute-technology,"Kyoto, Japan",-,3958.0,38.0,312,4.4,13.5,4.2,6.4,,12.3,9.6,6,19.8
1064,1001-1200,Kyushu Institute of Technology,https://www.topuniversities.com/universities/kyushu-institute-technology,"Kitakyushu, Japan",-,5628.0,306.0,374,5.7,23.7,4.6,5.4,,20.7,10.4,4.2,12.1
1065,1001-1200,Leeds Beckett University,https://www.topuniversities.com/universities/leeds-beckett-university,"Leeds, United Kingdom",-,20517.0,2998.0,943,20.8,6.9,12.4,4.5,,19.4,29.1,4,5.6
1066,1001-1200,Marquette University,https://www.topuniversities.com/universities/marquette-university,"Milwaukee, United States",-,10301.0,291.0,886,2.9,8.9,4.4,22.5,,21.2,5.5,3,25.5
1067,1001-1200,Mendeleev University of Chemical Technology,https://www.topuniversities.com/universities/mendeleev-university-chemical-technology,"Moscow, Russia",-,7338.0,432.0,691,6.4,2.5,3.6,16.3,,9.7,1.1,3.7,37.5
1068,1001-1200,Mississippi State University,https://www.topuniversities.com/universities/mississippi-state-university,"Starkville, United States",-,20333.0,676.0,"1,126",3.3,17.1,8.6,9.9,,53.2,10.4,5.5,8.1
1069,1001-1200,Multimedia University (MMU),https://www.topuniversities.com/universities/multimedia-university-mmu,"Cyberjaya, Malaysia",-,8043.0,994.0,582,20.5,5.7,17.4,23.1,,26.8,15.6,7.1,15.4
1070,1001-1200,Mustansiriyah University,https://www.topuniversities.com/universities/mustansiriyah-university,"Baghdad, Iraq",-,33105.0,1666.0,"4,846",5.2,1.2,4.5,42.4,,13,23.6,3.2,36.3
1071,1001-1200,Mutah University,https://www.topuniversities.com/universities/mutah-university,"Mu'tah, Jordan",-,9361.0,1987.0,699,51.9,1.6,5.1,20.3,,7.5,10.7,5.8,9.4
1072,1001-1200,Mykolas Romeris University,https://www.topuniversities.com/universities/mykolas-romeris-university,"Vilnius, Lithuania",-,4255.0,490.0,295,18.1,4.9,9.4,93,,9,8.6,5.1,13.6
1073,1001-1200,Nagoya Institute of Technology (NIT),https://www.topuniversities.com/universities/nagoya-institute-technology-nit,"Nagoya, Japan",-,5711.0,280.0,343,5,18,2.5,13.3,,21.7,6.1,5.3,6.5
1074,1001-1200,Nanjing Normal University,https://www.topuniversities.com/universities/nanjing-normal-university,"Nanjing, China (Mainland)",-,30053.0,1490.0,"2,300",5.1,16.5,1.6,5.5,,57.5,,3.5,18.1
1075,1001-1200,National Taiwan Ocean University,https://www.topuniversities.com/universities/national-taiwan-ocean-university,"Keelung City, Taiwan",-,8163.0,622.0,562,9.2,10,2.7,6.5,,21.5,4.7,5,13.4
1076,1001-1200,National University of Kyiv-Mohyla Academy (NaUKMA),https://www.topuniversities.com/universities/national-university-kyiv-mohyla-academy-naukma,"Kyiv, Ukraine",-,4878.0,45.0,550,1.5,1.1,11.1,30.5,,4.7,2.4,4.9,36.5
1077,1001-1200,North South University,https://www.topuniversities.com/universities/north-south-university,"Dhaka, Bangladesh",-,12692.0,313.0,715,2.6,1.9,37.2,26.8,,11.2,14.2,10.4,5.2
1078,1001-1200,North-West University,https://www.topuniversities.com/universities/north-west-university,"Potchefstroom, South Africa",-,35753.0,954.0,"1,679",2.8,12.6,8.5,16.3,,89.3,5,7,6.5
1079,1001-1200,Ocean University of China,https://www.topuniversities.com/universities/ocean-university-china,"Qingdao, China (Mainland)",-,27968.0,523.0,"1,789",2.1,32.5,1.6,5.6,,46.9,3.7,4.1,10.8
1080,1001-1200,Odessa I.I.Mechnikov National University,https://www.topuniversities.com/universities/odessa-iimechnikov-national-university-0,"Odessa, Ukraine",-,5852.0,251.0,935,3,1.4,2,25.5,,8.9,1.8,4,39.9
1081,1001-1200,Ohio University,https://www.topuniversities.com/universities/ohio-university,"Athens, United States",-,22818.0,977.0,"1,169",4.3,15.6,12.1,23.6,,44.8,6.1,8.5,6
1082,1001-1200,Paul Valéry University Montpellier,https://www.topuniversities.com/universities/paul-valery-university-montpellier,"Montpellier, France",-,19840.0,,642,37.2,3.3,2,2.8,,48.9,6,12.1,3.2
1083,1001-1200,Rochester Institute of Technology (RIT),https://www.topuniversities.com/universities/rochester-institute-technology-rit,"Rochester, United States",-,13728.0,1586.0,"1,136",18.2,8.3,6.9,26.8,,46.3,5.7,4.6,22.8
1084,1001-1200,Saitama University,https://www.topuniversities.com/universities/saitama-university,"Saitama City, Japan",-,8321.0,522.0,601,6.9,20.6,2.1,9.4,,28.7,11.3,3.6,15.3
1085,1001-1200,San Diego State University,https://www.topuniversities.com/universities/san-diego-state-university,"San Diego , United States",-,32810.0,1724.0,"1,258",5.5,20.9,3.9,28.7,,72.7,5.5,4.4,3.2
1086,1001-1200,Sathyabama Institute of Science and Technology (Deemed to be University),https://www.topuniversities.com/universities/sathyabama-institute-science-technology-deemed-be-university,"Chennai, India",-,12098.0,628.0,"1,073",5.4,4.1,11.3,8,,18.7,8.3,4,27.8
1087,1001-1200,Seattle University,https://www.topuniversities.com/universities/seattle-university,"Seattle, United States",-,6098.0,568.0,578,12.6,3.3,3.9,13.5,,6.9,1.5,4.6,33.5
1088,1001-1200,Seoul National University of Science and Technology,https://www.topuniversities.com/universities/seoul-national-university-science-technology,"Seoul, South Korea",-,8998.0,990.0,710,14,9.9,3.5,6.3,,11.6,11,5.7,9.5
1089,1001-1200,Shahid Beheshti University (SBU),https://www.topuniversities.com/universities/shahid-beheshti-university-sbu,"Tehran, Iran",-,19196.0,268.0,861,1.8,25.8,7.3,23.2,,53.5,1.7,8.5,4.4
1090,1001-1200,Shanghai International Studies University,https://www.topuniversities.com/universities/shanghai-international-studies-university,"Shanghai, China (Mainland)",-,12627.0,499.0,985,31.9,1.5,2.3,3.8,,3.3,30,4.3,19.2
1091,1001-1200,Sheffield Hallam University,https://www.topuniversities.com/universities/sheffield-hallam-university,,-,27009.0,3373.0,"1,670",20.9,5.4,14.2,5.4,,52.7,30.6,6.1,9.9
1092,1001-1200,"Siberian Federal University, SibFU",https://www.topuniversities.com/universities/siberian-federal-university-sibfu,"Krasnoyarsk, Russia",-,9773.0,1478.0,"1,043",23.2,3.1,3.9,4.3,,30.6,47.6,7,12.9
1093,1001-1200,"Siksha ‘O’ Anusandhan (Deemed to be University), SOA",https://www.topuniversities.com/universities/siksha-o-anusandhan-deemed-be-university-soa,"Bhubaneswar, India",-,12272.0,231.0,"1,258",2.1,4.2,2.5,7.9,,6.2,1.7,2.7,41.2
1094,1001-1200,Silesian University of Technology,https://www.topuniversities.com/universities/silesian-university-technology,"Gliwice, Poland",-,18266.0,423.0,"1,608",2.5,6.1,3.9,21.8,,34.5,2,5,28.4
1095,1001-1200,Sookmyung Women's University,https://www.topuniversities.com/universities/sookmyung-womens-university,"Seoul, South Korea",-,10645.0,162.0,858,1.9,5,5.2,5.9,,3.7,6.4,3.6,21.1
1096,1001-1200,Taibah University,https://www.topuniversities.com/universities/taibah-university,"Medina, Saudi Arabia",-,56178.0,1323.0,"2,546",2.5,2.8,1.7,3.7,,41.5,99.1,4.1,4.6
1097,1001-1200,Tallinn University,https://www.topuniversities.com/universities/tallinn-university,"Tallinn, Estonia",-,6345.0,704.0,329,16.9,8.9,5.3,96.3,,30.8,47.6,8.5,6.5
1098,1001-1200,Technical University of Lublin,https://www.topuniversities.com/universities/technical-university-lublin,"Lublin, Poland",-,7611.0,707.0,"1,100",12.5,3.3,1.4,6.4,,15.9,,4.2,25.8
1099,1001-1200,Telkom University,https://www.topuniversities.com/universities/telkom-university,"Bandung, Indonesia",-,19656.0,433.0,"1,684",2.4,1.4,7.6,29.6,,4.8,15.4,5.7,25.2
1100,1001-1200,Texas Tech University,https://www.topuniversities.com/universities/texas-tech-university,"Lubbock, United States",-,35583.0,1994.0,"1,855",6,14.7,14.2,18,,71.2,15.2,10.1,6.3
1101,1001-1200,Thapar Institute of Engineering & Technology,https://www.topuniversities.com/universities/thapar-institute-engineering-technology,"Patiala, India",-,9876.0,119.0,552,1.7,39.2,3.2,14.3,,33.4,5.2,2.2,7.5
1102,1001-1200,The Herzen State Pedagogical University of Russia,https://www.topuniversities.com/universities/herzen-state-pedagogical-university-russia, Russia,-,15646.0,2848.0,"1,374",41.4,1.2,1.9,3.7,,10.6,1.6,3.5,27
1103,1001-1200,The Josip Juraj Strossmayer University of Osijek,https://www.topuniversities.com/universities/josip-juraj-strossmayer-university-osijek,"Osijek, Croatia",-,30000.0,,1251,,2.8,,71.4,,44.1,,3.3,32.5
1104,1001-1200,"The National Research University ""Belgorod State University""",https://www.topuniversities.com/universities/national-research-university-belgorod-state-university,"Belgorod, Russia",-,11615.0,2342.0,970,49.4,2.1,1.3,4.3,,9.1,2.6,3,23.5
1105,1001-1200,The University of Alabama,https://www.topuniversities.com/universities/university-alabama,"Tuscaloosa, United States",-,33264.0,1091.0,"1,673",3.3,13.8,26.6,15.4,,44.8,5.8,8.7,5.7
1106,1001-1200,The University of Lahore,https://www.topuniversities.com/universities/university-lahore,"Lahore, Pakistan",-,30112.0,625.0,"2,128",2.2,2,16,12.6,,25.9,2.9,8.2,14.4
1107,1001-1200,The University of Northampton,https://www.topuniversities.com/universities/university-northampton,"Northampton, United Kingdom",-,11103.0,4007.0,582,93.6,3.3,2.8,2.4,,8.8,40,3,7.1
1108,1001-1200,Tokai University,https://www.topuniversities.com/universities/tokai-university,"Hiratsuka City, Japan",-,28535.0,991.0,"2,079",3.5,3.3,6.9,4.5,,27.6,6.7,10.1,15.7
1109,1001-1200,Tomas Bata University in Zlin,https://www.topuniversities.com/universities/tomas-bata-university-zlin,"Zlin, Czechia",-,8932.0,1055.0,480,18.1,6.5,10.5,13.3,,25.5,21.1,3.7,12.4
1110,1001-1200,Ton Duc Thang University,https://www.topuniversities.com/universities/ton-duc-thang-university,"Ho Chi Minh City, Vietnam",-,27878.0,378.0,"1,179",1.8,16,8.5,22.7,,91.3,34.7,5.5,6.4
1111,1001-1200,Universidad Andrés Bello,https://www.topuniversities.com/universities/universidad-andres-bello,"Santiago, Chile",-,42819.0,817.0,"2,250",2.2,2.9,15.4,4.3,,45.7,8,9.8,6
1112,1001-1200,Universidad Austral de Chile,https://www.topuniversities.com/universities/universidad-austral-de-chile,"Valdivia, Chile",-,17419.0,312.0,733,2.1,6.7,11.6,4,,55,17.5,15.5,3.8
1113,1001-1200,Universidad Autónoma de Aguascalientes (UAA),https://www.topuniversities.com/universities/universidad-autonoma-de-aguascalientes-uaa,"Aguascalientes, Mexico",-,16250.0,,1593,,1.4,1.8,4.9,,19.7,,3.2,36.7
1114,1001-1200,Universidad Autónoma de Nuevo León,https://www.topuniversities.com/universities/universidad-autonoma-de-nuevo-leon,"San Nicolás de los Garza, Mexico",-,132813.0,451.0,"4,456",1.2,1.8,15.9,18.1,,38,3.3,15.2,2.5
1115,1001-1200,Universidad Industrial de Santander - UIS,https://www.topuniversities.com/universities/universidad-industrial-de-santander-uis,"Bucaramanga, Colombia",-,20546.0,121.0,"1,020",1.3,2.4,26.1,15.3,,21,5.8,10.2,5.4
1116,1001-1200,"ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica",https://www.topuniversities.com/universities/ulacit-universidad-latinoamericana-de-ciencia-y-tecnologia-costa-rica,"San José, Costa Rica",-,3067.0,220.0,223,8.4,,22.4,99.5,,,10.1,7.1,15.6
1117,1001-1200,Universidad Nacional Agraria la Molina,https://www.topuniversities.com/universities/universidad-nacional-agraria-la-molina,"Lima, Peru",-,7860.0,179.0,608,2.4,1.5,9.9,16.2,,11.3,5.5,6.1,18.7
1118,1001-1200,Universidad Nacional de Cuyo,https://www.topuniversities.com/universities/universidad-nacional-de-cuyo,"Mendoza, Argentina",-,35241.0,3896.0,"3,064",16.8,1.7,6.8,3.4,,37.9,2,12.2,19.6
1119,1001-1200,Universidad Nacional de Río Cuarto - UNRC,https://www.topuniversities.com/universities/universidad-nacional-de-rio-cuarto-unrc,"Río Cuarto, Argentina",-,17268.0,,1706,,1.5,1.4,3.9,,9.6,,4.6,37.4
1120,1001-1200,Universidad Nacional de la Asunción,https://www.topuniversities.com/universities/universidad-nacional-de-la-asuncion,"San Lorenzo, Paraguay",-,50060.0,820.0,"5,363",2,1.1,10.3,29.5,,21,6.7,5.7,26
1121,1001-1200,Universidad Nacional Costa Rica,https://www.topuniversities.com/universities/universidad-nacional-costa-rica,"Heredia, Costa Rica",-,15585.0,324.0,"1,119",2.8,1.5,21,62,,19.2,11.5,9.3,15.1
1122,1001-1200,Universidad Peruana de Ciencias Aplicadas,https://www.topuniversities.com/universities/universidad-peruana-de-ciencias-aplicadas,"Monterrico, Peru",-,54137.0,975.0,"2,208",2.1,1.1,29.3,17.1,,5.3,14.4,9.2,4
1123,1001-1200,Universidad Rey Juan Carlos,https://www.topuniversities.com/universities/universidad-rey-juan-carlos,"Móstoles, Spain",-,41355.0,4667.0,"2,195",17.5,4.5,9.3,5.4,,51.7,16,7.2,6
1124,1001-1200,Universidad Tecnológica de Panamá (UTP),https://www.topuniversities.com/universities/universidad-tecnologica-de-panama-utp,"Panama City, Panama",-,20764.0,954.0,"1,706",4.7,1,20.1,1,,4.4,2.9,8.8,22.3
1125,1001-1200,Universidad Técnica Federico Santa María (USM),https://www.topuniversities.com/universities/universidad-tecnica-federico-santa-maria-usm,"Valparaíso, Chile",-,17724.0,345.0,821,2.2,5.6,38,8.1,,47.7,11.3,10.4,4.7
1126,1001-1200,Universidad de Castilla-La Mancha,https://www.topuniversities.com/universities/universidad-de-castilla-la-mancha,"Ciudad Real, Spain",-,25071.0,1232.0,"1,872",5.1,9.6,2,4.7,,59.3,2.2,8.4,16.9
1127,1001-1200,Universidad de Córdoba - Colombia,https://www.topuniversities.com/universities/universidad-de-cordoba-colombia,"Montería, Colombia",-,15717.0,,603,,1.5,4,8.7,,5.1,,16.7,2.9
1128,1001-1200,Universidad de Lima,https://www.topuniversities.com/universities/universidad-de-lima,"Lima, Peru",-,15081.0,280.0,659,2.1,1.1,33,12.5,,2.1,4.6,9.9,4.2
1129,1001-1200,Universidad de Monterrey (UDEM),https://www.topuniversities.com/universities/universidad-de-monterrey-udem,"San Pedro Garza García, Mexico",-,9076.0,136.0,613,1.9,1.5,12,16.6,,4.9,12.4,11.5,12.6
1130,1001-1200,Universidad de Oviedo,https://www.topuniversities.com/universities/universidad-de-oviedo,"Oviedo, Spain",-,20307.0,,1592,,14,2.5,4.6,,67.9,,11.3,11.9
1131,1001-1200,Universidad de Talca,https://www.topuniversities.com/universities/universidad-de-talca,"Talca, Chile",-,11045.0,99.0,613,1.5,5.3,9.6,4.9,,32.5,24.2,10.2,6.7
1132,1001-1200,Universidad de Valladolid,https://www.topuniversities.com/universities/universidad-de-valladolid,"Valladolid, Spain",-,22487.0,1625.0,"1,889",4.2,5.9,3.4,,,,1.4,9.8,26.1
1133,1001-1200,Universidad de Valparaíso (UV),https://www.topuniversities.com/universities/universidad-de-valparaiso-uv,"Valparaíso, Chile",-,16627.0,179.0,987,1.6,3.6,8.9,8.3,,28.3,7.4,10,8.8
1134,1001-1200,Universidad del Norte,https://www.topuniversities.com/universities/universidad-del-norte,"Barranquilla, Colombia",-,12844.0,86.0,890,1.3,2.5,28.3,4.3,,18.2,10.8,9.3,12.9
1135,1001-1200,Universidad del Pacífico,https://www.topuniversities.com/universities/universidad-del-pacifico,"Jesús María, Peru",-,4777.0,26.0,210,1.3,2.7,35.9,23.5,,4,14.3,7.1,4.2
1136,1001-1200,Universidade Federal de Juiz de Fora- (UFJF),https://www.topuniversities.com/universities/universidade-federal-de-juiz-de-fora-ufjf,"Juiz de For a, Brazil",-,16460.0,,1576,,3.2,2.3,4.2,,25.1,,3.4,34.2
1137,1001-1200,Universidade Federal de Pelotas,https://www.topuniversities.com/universities/universidade-federal-de-pelotas,"Pelotas, Brazil",-,14960.0,131.0,"1,360",1.4,5.5,1.3,6.3,,23.3,,4.5,29.5
1138,1001-1200,Universidade Federal de Pernambuco (UFPE),https://www.topuniversities.com/universities/universidade-federal-de-pernambuco-ufpe,"Recife, Brazil",-,32810.0,216.0,"2,669",1.3,3.8,2.8,6.8,,42.5,1.8,12.3,21.7
1139,1001-1200,Universidade da Coruña,https://www.topuniversities.com/universities/universidade-da-coruna,"A Coruña, Spain",-,14810.0,694.0,"1,284",4.8,7.7,5.8,5,,52.6,2,5,26
1140,1001-1200,Universidade de Vigo,https://www.topuniversities.com/universities/universidade-de-vigo,"Vigo, Spain",-,20177.0,860.0,"1,252",4.3,15.6,4.5,5.4,,77.3,2.6,7.8,10
1141,1001-1200,Universidade do Estado do Rio de Janeiro (UERJ),https://www.topuniversities.com/universities/universidade-do-estado-do-rio-de-janeiro-uerj,"Rio de Janeiro, Brazil",-,34477.0,140.0,"2,558",1.2,3.2,4.6,11.5,,30.9,4.2,8.7,16.6
1142,1001-1200,Universitas Hasanuddin,https://www.topuniversities.com/universities/universitas-hasanuddin,"Makassar, Indonesia",-,31549.0,733.0,"2,507",2.5,1.4,7,6.9,,14.8,5.6,10.3,12.5
1143,1001-1200,Universitas Sebelas Maret,https://www.topuniversities.com/universities/universitas-sebelas-maret,"Surakarta, Indonesia",-,29835.0,444.0,"2,316",1.9,1.5,7.2,5.6,,5.4,11.6,8.8,12.4
1144,1001-1200,Universiti Kuala Lumpur (UniKL),https://www.topuniversities.com/universities/universiti-kuala-lumpur-unikl,"Kuala Lumpur , Malaysia",-,16309.0,598.0,"1,514",3.7,2,5.4,7,,15.9,7.7,6.3,31.6
1145,1001-1200,Universiti Malaysia Sabah (UMS),https://www.topuniversities.com/universities/universiti-malaysia-sabah-ums,"Kota Kinabalu, Malaysia",-,16826.0,1412.0,942,9.1,3.6,9.2,6.8,,25.9,12.9,13.1,7.5
1146,1001-1200,Universiti Malaysia Sarawak (UNIMAS),https://www.topuniversities.com/universities/universiti-malaysia-sarawak-unimas,"Kuching, Malaysia",-,13915.0,923.0,886,7.5,3.2,7.8,5.9,,15.3,35.7,11.4,10.8
1147,1001-1200,Universiti Malaysia Terengganu (UMT),https://www.topuniversities.com/universities/universiti-malaysia-terengganu-umt,"Kuala Terengganu, Malaysia",-,9678.0,594.0,687,6.7,7.2,4.1,7,,41.5,13.4,9.1,13.6
1148,1001-1200,Universiti Tun Hussein Onn Malaysia (UTHM),https://www.topuniversities.com/universities/universiti-tun-hussein-onn-malaysia-uthm,"Batu Pahat, Malaysia",-,16136.0,1002.0,966,6.8,6.6,5.7,6.6,,35.8,8.5,7.8,9
1149,1001-1200,"University of Agriculture, Faisalabad",https://www.topuniversities.com/universities/university-agriculture-faisalabad,"Faisalabad, Pakistan",-,29910.0,98.0,784,1.2,34.1,10.2,10.9,,45,4.1,5.1,1.8
1150,1001-1200,University of Arkansas Fayetteville,https://www.topuniversities.com/universities/university-arkansas-fayetteville,"Fayetteville, United States",-,25207.0,1134.0,"1,364",4.6,12.7,6,9.7,,61.8,6.3,6.9,6.9
1151,1001-1200,University of Belgrade,https://www.topuniversities.com/universities/university-belgrade,"Belgrade, Serbia",-,97225.0,4610.0,"4,674",4.9,5.8,6.9,64.3,,94.5,3.3,17.2,4.2
1152,1001-1200,University of Bialystok,https://www.topuniversities.com/universities/university-bialystok,"Bialystok, Poland",-,8743.0,478.0,800,5.8,2.5,3.2,6,,33.1,,5.1,30.3
1153,1001-1200,University of Bucharest,https://www.topuniversities.com/universities/university-bucharest,"Bucharest, Romania",-,32650.0,718.0,"1,842",2.4,4.1,11.4,37.8,,66.3,2.8,14.6,7.7
1154,1001-1200,University of Calabria,https://www.topuniversities.com/universities/university-calabria,"Rende, Italy",-,23654.0,978.0,948,4.2,25,1.8,3.5,,85.1,8,4.8,3.5
1155,1001-1200,University of Derby,https://www.topuniversities.com/universities/university-derby,"Derby, United Kingdom",-,16188.0,2986.0,"1,036",42.4,4.2,4.6,5.3,,39.3,27.9,3.8,11.3
1156,1001-1200,University of Hawaii at Hilo,https://www.topuniversities.com/universities/university-hawaii-hilo,"Hilo, United States",-,2658.0,81.0,208,3.1,10.5,2.6,18.3,,13.8,4.1,3.1,19.3
1157,1001-1200,University of Kufa,https://www.topuniversities.com/universities/university-kufa,"Kufa, Iraq",-,24992.0,43.0,"2,356",1.1,1.3,8.4,45.5,,11.8,5.3,3.6,33
1158,1001-1200,University of Latvia,https://www.topuniversities.com/universities/university-latvia,"Riga, Latvia",-,12553.0,833.0,586,7.5,8.2,14.5,90.4,,63.7,16.3,12.5,4.8
1159,1001-1200,University of Miskolc,https://www.topuniversities.com/universities/university-miskolc,"Miskolc, Hungary",-,7853.0,445.0,638,6,2.2,5.3,20.7,,22.1,4.8,5.8,22.1
1160,1001-1200,University of Missouri Saint Louis,https://www.topuniversities.com/universities/university-missouri-saint-louis,"St. Louis, United States",-,6815.0,288.0,490,4.3,18.7,6.4,21.1,,13.9,5.3,3.8,15.1
1161,1001-1200,"University of Missouri, Kansas City",https://www.topuniversities.com/universities/university-missouri-kansas-city,"Kansas City, United States",-,9961.0,694.0,769,8,14.4,5.4,11.6,,24.7,3.9,4.5,18.7
1162,1001-1200,University of Montana Missoula,https://www.topuniversities.com/universities/university-montana-missoula,"Missoula , United States",-,7787.0,124.0,556,1.9,27,2.4,10.3,,34.7,1.5,2.2,14.8
1163,1001-1200,University of Mumbai,https://www.topuniversities.com/universities/university-mumbai,"Mumbai, India",-,7524.0,113.0,445,1.9,20.9,18.1,97.6,,18.2,1.8,8.2,2.1
1164,1001-1200,University of Nairobi,https://www.topuniversities.com/universities/university-nairobi,"Nairobi, Kenya",-,62565.0,,2495,,1.9,14.9,80.5,,31.4,,9.4,16.7
1165,1001-1200,University of Naples Parthenope,https://www.topuniversities.com/universities/university-naples-parthenope,"Naples, Italy",-,8370.0,151.0,349,2.1,42.7,1.7,4.6,,29.3,2.1,3.1,3.8
1166,1001-1200,University of North Texas,https://www.topuniversities.com/universities/university-north-texas,"Denton, United States",-,33651.0,2538.0,"1,351",9,20.8,7.9,38.6,,46.2,5.1,6.9,3.6
1167,1001-1200,University of Ostrava,https://www.topuniversities.com/universities/university-ostrava,"Ostrava, Czechia",-,6935.0,679.0,564,13.7,4.4,1,15.8,,36.7,20.2,5,21.6
1168,1001-1200,University of Palermo,https://www.topuniversities.com/universities/university-palermo,"Palermo, Italy",-,28571.0,504.0,"1,434",2,27,2.3,7,,73.7,2.6,9.8,5.7
1169,1001-1200,University of Pannonia,https://www.topuniversities.com/universities/university-pannonia,"Veszprém, Hungary",-,4163.0,341.0,359,10.2,9.8,3.1,34.7,,63,,4.3,25.6
1170,1001-1200,University of Pardubice,https://www.topuniversities.com/universities/university-pardubice,"Pardubice, Czechia",-,6048.0,416.0,711,7.9,4.3,1.7,12.7,,23.3,10.7,4.4,35.4
1171,1001-1200,University of Peradeniya,https://www.topuniversities.com/universities/university-peradeniya,"Peradeniya, Sri Lanka",-,19991.0,163.0,"1,692",1.4,2,5.6,69.8,,20.5,1,7.2,19.7
1172,1001-1200,University of Primorska,https://www.topuniversities.com/universities/university-primorska,"Koper, Slovenia",-,6089.0,942.0,383,28.8,9.5,1.8,98.8,,40.2,28,2.8,10.9
1173,1001-1200,University of Regina,https://www.topuniversities.com/universities/university-regina,"Saskatoon, Canada",-,14333.0,2689.0,620,43.7,20.4,4.2,4.9,,40.2,6.9,3,4.1
1174,1001-1200,University of Rhode Island,https://www.topuniversities.com/universities/university-rhode-island,"Kingston, United States",-,15932.0,473.0,906,3,16.2,3.2,11.5,,49.1,6.9,4.8,8
1175,1001-1200,University of Rijeka,https://www.topuniversities.com/universities/university-rijeka,"Rijeka, Croatia",-,13051.0,222.0,905,2,3.9,2.6,71.9,,39.5,2.8,5.4,22.2
1176,1001-1200,University of Salerno,https://www.topuniversities.com/universities/university-salerno,"Fisciano, Italy",-,25397.0,406.0,"1,174",1.9,31.9,2.3,7.1,,87,3,7.5,4.7
1177,1001-1200,University of San Diego,https://www.topuniversities.com/universities/university-san-diego,"San Diego, United States",-,7602.0,465.0,661,6.7,3.3,6,52.1,,4.4,3.2,7.1,25.2
1178,1001-1200,University of San Francisco,https://www.topuniversities.com/universities/university-san-francisco,"San Francisco, United States",-,8298.0,1060.0,675,21.8,4.6,4.6,55.2,,5.9,2.2,7.4,16
1179,1001-1200,University of Texas at San Antonio,https://www.topuniversities.com/universities/university-texas-san-antonio,"San Antonio, United States",-,28058.0,806.0,"1,163",2.9,27.5,4.4,8.5,,66.7,11.5,6.3,4
1180,1001-1200,University of Toledo,https://www.topuniversities.com/universities/university-toledo,"Toledo, United States",-,15103.0,1096.0,880,8.5,25.1,6.1,9.3,,47,8.6,3.2,8.4
1181,1001-1200,University of Warmia and Mazury in Olsztyn,https://www.topuniversities.com/universities/university-warmia-mazury-olsztyn,"Olsztyn, Poland",-,15629.0,399.0,"1,686",2.7,3.3,9,,,41.7,2.8,4.4,21.1
1182,1001-1200,University of Wisconsin Milwaukee,https://www.topuniversities.com/universities/university-wisconsin-milwaukee,"Milwaukee, United States",-,20522.0,885.0,"1,273",4.4,15.6,4.5,8.8,,42.4,8.1,7.8,9.9
1183,1001-1200,University of Wolverhampton,https://www.topuniversities.com/universities/university-wolverhampton,"Telford, United Kingdom",-,15385.0,4301.0,954,71.9,7.9,2.7,3.4,,41.1,35.3,2.9,9.9
1184,1001-1200,University of the Pacific,https://www.topuniversities.com/universities/university-pacific,"Stockton, United States",-,5720.0,369.0,534,7.2,3.7,3.8,27.9,,11.4,3.8,2,32.1
1185,1001-1200,University of the Sunshine Coast,https://www.topuniversities.com/universities/university-sunshine-coast,"Sunshine Coast, Australia",-,17468.0,3067.0,540,22.1,22.9,2.9,2.9,,42,3.2,2.6,2.2
1186,1001-1200,University of the Western Cape,https://www.topuniversities.com/universities/university-western-cape,"Cape Town, South Africa",-,18040.0,800.0,827,4.5,13.2,7.1,17.3,,73.3,28.2,7.9,4.3
1187,1001-1200,Università degli Studi della Tuscia (University of Tuscia),https://www.topuniversities.com/universities/universita-degli-studi-della-tuscia-university-tuscia,"Viterbo, Italy",-,6434.0,316.0,340,5.1,31.2,1.1,5.1,,42.2,11.4,3,6.6
1188,1001-1200,Università degli Studi di Udine,https://www.topuniversities.com/universities/universit%C3%A0-degli-studi-di-udine,"Udine, Italy",-,12417.0,532.0,763,4.3,22.4,3.2,4,,50,5.5,6.5,9.7
1189,1001-1200,Universität Siegen,https://www.topuniversities.com/universities/universitat-siegen,"Siegen, Germany",-,18095.0,2249.0,"1,204",20.7,5.5,2.1,9.7,,40.2,40.2,4.1,11.2
1190,1001-1200,Université Lumière Lyon 2,https://www.topuniversities.com/universities/universite-lumiere-lyon-2,"Lyon, France",-,25365.0,4573.0,972,32.7,5.5,2,5.2,,60.1,29.7,11.2,7.4
